,TEMP,DEWP,VISIB,WDSP,PRCP
1990-01-01,43.031222144030025,38.491930565329575,11.417382125263897,11.254773633591368,63.821907107670654
1990-01-08,43.056439127375086,38.555876143560866,6.461101337086559,11.91335327234342,61.49983110485573
1990-01-15,43.0167487684729,38.731034482758616,11.21773399014778,10.875369458128079,64.03300492610838
1990-01-22,43.13534482758621,38.47415552427868,6.228782547501758,11.063916256157635,58.931474313863475
1990-02-01,43.11291344123856,38.332107670654466,6.351513019000703,11.301231527093597,63.62840077410274
1990-02-08,43.56798029556649,38.388669950738915,11.301970443349754,10.492610837438425,53.689211822660106
1990-02-15,44.14005981703025,38.946270232230816,6.334641097818436,10.91002814919071,57.75284482758621
1990-02-22,43.92561576354681,38.056157635467976,21.130049261083744,12.188669950738916,60.09251231527094
1990-03-01,44.083743842364534,38.19261083743843,6.410837438423644,11.499507389162563,60.09251231527094
1990-03-08,46.24384236453202,39.71970443349754,21.04581280788177,11.872413793103451,57.62970443349754
1990-03-15,47.01477832512315,40.37733990147784,6.320689655172411,11.923152709359607,52.70408866995074
1990-03-22,47.58502814919071,40.036277269528505,25.866625615763546,10.884992962702324,44.594414144968326
1990-04-01,48.20541871921182,40.91428571428571,6.432512315270936,11.755172413793103,55.65945812807882
1990-04-08,49.21613756613756,41.284769463340886,6.494538926681783,10.490948601662888,44.610051020408164
1990-04-15,50.351020408163265,41.71124338624339,21.791345427059706,10.727475434618293,46.70734693877551
1990-04-22,51.85748299319727,43.44433106575963,16.703212396069542,11.44544595616024,51.27982993197279
1990-05-01,53.2021287825475,44.455365939479236,16.470953553835326,10.878184377199156,47.0044475721323
1990-05-08,53.820091484869806,44.94329697396199,36.01608022519353,10.79780084447572,47.03963054187192
1990-05-15,54.19637514009436,46.12019899913988,11.550854901347511,10.309058565955118,55.02290699038236
1990-05-22,56.458075299085145,48.16103096410978,6.56252638986629,10.620636875439832,49.484846938775505
1990-06-01,58.11882477128784,49.851372273047154,6.640288529204784,9.402322308233638,47.831247361013375
1990-06-08,58.12053131597467,50.26688951442646,6.483233638282897,9.739514426460238,48.51731527093596
